regisno,animal_id,prefix,anm_name,sex,category,birth_date,regtype,mating,twin_code,disposal,frac1,brd2,frac2,brd3,frac3,ownr,breeder,sire_reg,dam_reg,dam_dob,birth_work_grp,birth_cont_grp,birth_wt,birth_adj,birth_no_conts,wean_work_grp,wean_cont_grp,wean_feed_code,wean_date,wean_wt,wean_adj,wean_no_conts,year_work_grp,year_cont_grp,year_date,year_wt,year_adj,year_no_conts,birth_cg_no,calv_ease
1025893,R11,FRI,FEDDES_BLOCKANA_R11,C,A,2005-01-19,R,1,1,.,1000,.,.,.,.,75282,31083,806707,784708,2001-03-05,618463,R1577859-3,80,82,32,618463,11,1,2005-09-09,650,612,29,340220,10,2006-03-16,945,870,23,.,1
1025946,R64,FRI,FEDDES_BLOCKANA_R64,C,A,2005-02-06,R,1,1,.,1000,.,.,.,.,86972,31083,663262,906755,2003-02-05,618463,R1749020-2,74,81,13,618463,3,1,2005-09-09,660,696,11,340220,4,2006-03-16,1000,985,9,6,1
1027033,552,OTT,RIDGE_AQUILA_213-552,C,A,2005-02-14,R,2,1,15,1000,.,.,.,.,48779,48779,853579,837713,2002-02-06,612401,R1628497-2,68,71,35,612401,4,1,2005-09-10,536,559,33,.,.,.,.,.,.,.,1
1028512,528,BTK,MLK_CRK_CPR_LASS_528,C,A,2005-02-20,R,1,1,.,1000,.,.,.,.,87483,23178,761532,853642,2002-03-28,355790,R1579031-4,79,82,38,355790,5,1,2005-09-09,634,675,33,338019,4,2006-03-03,741,773,31,.,1
1029126,5148,PIE,PIE_EXPRESS_5148,B,A,2005-03-02,R,1,1,.,1000,.,.,.,.,25771,25771,861290,687886,1999-02-06,611298,R1643925-8,92,92,130,611298,11,1,2005-09-12,858,901,110,336237,11,2006-02-12,1476,1547,69,.,1
1029127,5052,PIE,PIE_MAXIMIZER_5052,B,A,2005-02-19,R,1,1,.,1000,.,.,.,.,25771,25771,861290,687828,1999-03-10,611298,R1643925-8,87,87,130,611298,11,1,2005-09-12,836,836,110,336237,11,2006-02-12,1374,1399,69,.,1
1029626,10090,RAB,BIEBER_VACATION_10090,B,A,2005-02-12,R,1,1,9,1000,.,.,.,.,52311,22991,648319,905875,2003-06-05,612378,R1593534-3,84,91,62,612378,3,1,2005-09-27,583,609,58,334080,6,2006-01-19,984,1172,55,.,1
1029905,R007,MVK,MONTVUE_MAJOR_D_R007,B,A,2005-02-03,R,3,1,15,1000,.,.,.,.,42952,42952,832407,404520,1992-03-18,612440,R1751841,70,70,1,612440,.,2,2005-08-26,581,584,1,336987,.,2006-02-23,1243,1169,1,.,1
1030087,0422,JAN,0422_MILLER_SUPERIOR_CHIEF,C,A,2004-09-23,R,3,1,.,1000,.,.,.,.,56386,24594,90489,555330,1996-09-11,322373,R1747590-1,64,64,1,322373,1,1,2005-03-15,583,679,1,817413,.,.,.,.,.,.,1
1030095,512,JAN,0512_MILLER_CHOCTAW_CHIEF,C,A,2005-03-12,R,3,1,90,1000,.,.,.,.,114338,24594,13072,180271,1985-03-18,322373,R1748694-37,60,61,1,322373,42,1,2005-08-11,374,476,1,761375,.,.,.,.,.,.,1
1030099,0516,JAN,0516_MILLER_CHOCTAW_CHIEF,C,A,2005-03-10,R,3,1,90,1000,.,.,.,.,24594,24594,13072,596868,1996-09-09,322373,R1717378-1,47,47,1,322373,1,1,2005-08-11,377,486,1,.,.,.,.,.,.,.,1
1031078,R6424,RABR,BROWN_SIESTA_R6424,B,A,2005-01-03,R,1,1,15,1000,.,.,.,.,26380,26380,648319,934837,2003-01-08,612347,R1596203-2,76,83,21,612347,2,1,2005-08-24,580,593,20,612347,2,2006-03-02,1260,1166,19,.,1
1032136,R289,BSKF,3SCC_SENSATION_R289,B,A,2005-04-02,R,3,1,16,1000,.,.,.,.,48802,48802,513752,US11225670,1989-03-26,612429,R1756064,89,89,1,612429,.,1,2005-09-25,530,603,1,337841,.,2006-03-01,1017,1099,1,.,1
1032695,2562,GEF,GEF_GREAT_NORTHERN_2562,B,A,2005-02-17,R,1,1,15,1000,.,.,.,.,47639,47639,898651,709402,2000-03-18,612435,R1563570-4,81,81,15,612435,7,1,2005-08-22,660,719,6,349350,6,2006-01-20,1380,1482,6,.,1
1033520,4705,RRSO,RRSO_GOLLY_MISS_MOLLY_4705,C,A,2005-01-08,R,1,1,99,1000,.,.,.,.,23166,33079,606036,908560,2003-02-24,612917,R1567622-3,55,62,4,612917,4,1,2005-09-28,692,612,2,340356,5,2006-04-11,796,697,2,.,1
1033546,2695,HW,HW_DORY_JIBA_2995,C,A,2004-09-13,R,3,1,.,1000,.,.,.,.,78597,26032,574873,676966,1999-03-28,324007,R1700542-1,65,65,1,324007,1,1,2005-05-06,565,501,1,.,.,.,.,.,.,.,1
1035023,5161,LL,LORENZEN_PENDLETON_5161,B,A,2005-01-18,R,1,1,15,1000,.,.,.,.,23166,25965,832407,860440,2002-01-29,612412,R1643900-11,70,73,28,612412,10,1,2005-09-02,752,724,26,336497,15,2006-01-04,1161,1252,25,.,1
1035834,R31,TPLR,GHR_MARITA_R31,C,A,2005-03-13,R,2,1,.,1000,.,.,.,.,52311,52311,731189,844742,2002-01-28,612436,R1594586-1,72,75,12,612436,1,2,2005-08-24,526,670,9,338056,1,2006-03-06,1022,1079,8,.,1
1037175,5604,KW,ROY_ROGERS_5604,B,A,2005-02-16,R,1,1,9,1000,.,.,.,.,64976,75883,888676,690081,1999-04-04,618469,R1644215-1,85,85,1,618469,1,1,2005-09-10,835,831,1,391431,1,2006-03-01,1345,1305,1,.,1
1037496,0528,DUNN,DUNN_0528,C,A,2005-04-05,R,2,1,99,1000,.,.,.,.,23166,23166,691195,441751,1994-02-23,426293,R1650568-3,75,77,22,426293,5,1,2005-10-03,574,665,21,.,.,.,.,.,.,.,1
1039299,5468,SSIR,SSIR___5468,C,3,2005-03-14,C,1,1,.,500,XX,500,.,.,26771,26771,706216,.,.,326551,R1591194-4,108,108,50,326551,4,1,2005-10-11,628,613,49,.,.,.,.,.,.,.,1
1039652,R5027,LJRA,LSF_BLACKBIRD_N3080_R5027,C,A,2005-01-20,R,1,1,.,1000,.,.,.,.,110438,35170,648319,909638,2003-02-11,325766,R1612452-2,72,79,8,325766,2,2,2005-07-20,585,713,8,337718,2,2006-02-09,1000,1038,8,.,1
1039801,A093R,1JD,LCOC_HIGH_NOON_A093R,B,A,2005-01-05,R,1,1,16,1000,.,.,.,.,22991,44252,663262,893277,2003-01-05,611172,R1587645-4,66,73,10,611172,5,1,2005-08-07,835,877,9,336973,4,2006-02-13,1416,1366,4,.,1
1041180,86R,RHRA,RHRA_ADVANCE_274_86R,B,A,2005-04-23,R,2,1,.,1000,.,.,.,.,24674,24674,908923,845329,2002-04-12,618464,R1596872-3,68,71,42,618464,7,1,2005-10-05,579,741,6,337133,4,2006-02-20,1165,1420,6,.,1
1041906,R168,WF,BECKTON_CODY_K2_R168,B,A,2005-03-06,R,2,1,15,1000,.,.,.,.,23128,23081,854892,736238,2000-03-08,618415,R1592980-7,76,76,158,618415,34,1,2005-08-30,654,745,32,336560,31,2006-02-16,1228,1285,32,.,.
1042135,R397,WF,BECKTON_EPIC_R397_K,B,A,2005-03-19,R,3,1,16,1000,.,.,.,.,22991,23081,533259,533628,1996-03-19,618415,R1674674-1,78,78,1,618415,1,3,2005-09-04,540,638,1,336560,1,2006-02-16,1090,1171,1,.,.
1042326,R588,BKT,BECKTON_HALFMANNHUSTLER_R588,B,A,2005-04-01,R,2,1,16,1000,.,.,.,.,23127,22992,677589,533667,1996-03-21,618415,R1592980-7,67,67,158,618415,37,1,2005-09-01,480,620,21,336560,34,2006-02-16,1112,1222,18,.,.
1042405,R667,WF,BECKTON_WARRIOR_R667_CL,B,A,2005-04-07,R,2,1,16,1000,.,.,.,.,23385,23081,855356,855424,2002-04-18,618415,R1592980-9,85,88,89,618415,54,1,2005-09-01,492,691,15,336560,53,2006-02-16,1100,1270,13,.,.
1043610,5017,LACY,LACY_MIS_TOWKANA_5017,C,A,2005-03-02,R,1,1,.,1000,.,.,.,.,105397,29231,411482,915935,2003-03-07,820524,R1616940,.,.,.,327268,11,1,2005-09-16,570,647,3,340358,6,2006-03-15,840,887,3,.,1
1043712,503,ARO,ARO_TRIPLE_PLAY_503,B,A,2005-02-24,R,2,1,16,1000,.,.,.,.,32308,32308,913077,913086,2003-02-28,337105,R1648205-5,87,94,6,337105,6,1,2005-10-01,584,626,6,337988,3,2006-02-17,1030,1139,3,.,2
1044720,502,SSIX,SSIX_MOONLIGHT_502,C,A,2005-03-07,R,1,1,15,1000,.,.,.,.,47971,47971,574873,782558,2001-03-24,612418,R1566029-5,84,85,7,612418,9,1,2005-10-03,610,607,5,338291,3,2006-03-10,755,754,4,.,1
1046200,514,WR,WR_MS._HEIDI_SUE_514,C,A,2005-03-18,R,1,1,.,1000,.,.,.,.,115993,78653,574873,529339,1996-04-03,612357,R1749375-24,84,84,36,612357,26,2,2005-10-22,602,583,35,342560,2,2006-04-22,1098,1028,34,12,1
1047078,5215R,SOR5,SCHULER_LANCER_5215R,B,A,2005-02-24,R,1,1,16,1000,.,.,.,.,29602,24439,533603,917878,2003-03-05,618434,R1552896-63,90,97,55,618434,59,1,2005-10-14,660,670,49,340365,13,2006-02-17,1028,1139,39,.,1
1047599,6175,FLR,5L_NORSEMAN_137-6175,B,A,2005-02-11,R,1,1,16,1000,.,.,.,.,30473,24566,806707,578871,1997-02-10,611236,R1568841-9,92,92,186,611236,23,1,2005-08-22,644,679,85,340397,12,2006-01-28,1140,1179,40,.,1
1047715,R60,FLR,5L_NORSEMAN_K68-R60,B,B,2005-03-10,R,2,1,16,969,XX,31,.,.,24439,24566,806707,728064,2000-02-15,611236,R1568841-9,80,80,186,611236,23,1,2005-08-22,568,680,85,340397,12,2006-01-28,1145,1261,40,.,1
1047725,5615,FLR,5L_SIGNATURE_5615,B,A,2005-02-04,R,3,1,15,1000,.,.,.,.,24566,24566,806707,789594,2001-01-14,611236,R1754180,83,83,1,611236,.,1,2005-09-13,762,713,1,340397,.,2006-01-28,1275,1312,1,.,1
1047760,6755,FLR,5L_EXPRESS_1152-6755,B,A,2005-02-20,R,1,1,10,1000,.,.,.,.,32308,24566,920712,856621,2002-02-17,611236,R1568841-9,93,97,186,611236,26,1,2005-08-22,613,712,43,340397,15,2006-01-28,1190,1294,13,.,1
1047962,6405,FLR,5L_FUTURE_DESIGN_893-6405,B,2,2005-02-15,R,3,1,.,1000,.,.,.,.,24566,24566,920948,920487,2003-02-12,816897,R1718729,.,.,.,611236,1,1,2005-08-23,700,752,1,340397,1,2006-01-28,1255,1314,1,.,1
1048123,5985,FLR,5L_HERITAGE_1821-5985,B,2,2005-02-09,R,3,1,21,1000,.,.,.,.,24566,24566,CA1613619,805378,2001-02-17,611236,R1756288,82,82,1,611236,.,1,2005-08-23,665,695,1,340397,.,2006-01-28,1120,1156,1,.,1
1048130,1145,FLR,5L_HAZEL_203-1145,C,2,2005-02-10,R,3,1,15,1000,.,.,.,.,24566,24566,CA1613619,920954,2003-01-17,611236,R1753338-19,76,76,1,611236,19,1,2005-08-25,562,582,1,702917,.,.,.,.,0,.,1
1048135,6325,FLR,5L_DIRECT_TRAVLR_363-6325,B,A,2005-02-14,R,3,1,16,1000,.,.,.,.,49488,24566,921084,920972,2003-01-23,611236,R1756549,89,89,1,611236,.,1,2005-08-23,605,646,1,340397,.,2006-01-28,1105,1152,1,.,1
1048140,6315,FLR,5L_DIRECT_DESIGN_893-6315,B,A,2005-02-13,R,3,1,16,1000,.,.,.,.,59756,24566,920948,920487,2003-02-12,611236,R1756549,96,96,1,611236,.,1,2005-08-23,670,712,1,340397,.,2006-01-28,1195,1244,1,.,1
1048149,1715,FLR,5L_LAKOTA_41C-1715,C,A,2005-02-20,R,1,3,15,1000,.,.,.,.,24566,24566,921084,408936,1993-03-10,611236,R1685522-1,80,82,1,611236,1,1,2005-08-25,563,637,1,.,.,.,.,.,.,.,1
1049353,R154,RRH,MS_HAMMEL_JULIAN_R154,C,A,2005-03-26,R,2,1,.,1000,.,.,.,.,33175,23134,904845,842427,2002-04-15,326710,R1748899-1,60,64,159,326710,1,1,2005-10-27,604,618,88,343921,1,2006-05-04,845,826,83,8,1
1049553,558,LBLF,LOOSLI_SAWTELL_558,B,A,2005-03-10,R,2,1,15,1000,.,.,.,.,33011,33011,899844,836160,2002-02-17,618435,R1618536-4,84,88,97,618435,5,1,2005-09-20,515,578,94,.,.,.,.,.,0,.,1
1049621,508,LBLF,LOOSLI_NEW_508,C,A,2005-02-08,R,1,1,.,1000,.,.,.,.,33011,33011,770938,556879,1997-02-22,618435,R1618536-5,79,79,82,618435,6,1,2005-10-02,580,529,82,727978,.,.,.,.,0,.,1
1049637,575,LBLF,LOOSLI_SAWTELL,B,A,2005-03-22,R,2,1,15,1000,.,.,.,.,33011,33011,899844,601598,1998-04-09,618435,R1618536-4,93,93,97,618435,5,1,2005-09-20,675,741,94,.,.,.,.,.,0,.,1
1049684,503,LBLF,LOOSLI_NEW_DEAL_503,B,A,2005-02-06,R,1,1,15,1000,.,.,.,.,33011,33011,770938,829998,2002-02-17,618435,R1618536-4,63,67,97,618435,5,1,2005-09-20,695,683,94,341650,2,2006-02-10,1222,1274,72,.,1
1050372,R170,BUF,BUF_CRK_PINETA_R170,C,A,2005-05-21,R,1,1,.,1000,.,.,.,.,59061,23011,795538,922297,2003-05-19,612403,R11439-1,72,79,1,612403,1,1,2005-11-05,416,543,1,342563,1,2006-05-08,851,921,1,5,1
1050413,R102,VC,BUF_CRK_LANCE_R102,B,A,2005-05-16,R,1,1,15,1000,.,.,.,.,23024,23024,861530,861971,2002-05-29,612403,R1607072-10,80,84,182,612403,14,1,2005-11-01,456,572,175,342563,8,2006-04-21,1113,1189,136,.,1
1050763,1654,ACGT,CONNEALY_DANNY_BOY,B,2,2001-03-20,R,1,1,16,1000,.,.,.,.,8934,78618,CA1039059,US13180428,1998-02-02,.,R1602588,.,.,.,605974,1,1,2001-10-12,773,810,1,.,.,.,.,.,.,.,1
1051644,R5067,GJRA,JACOBSON_SADIE_R5067,C,A,2005-02-20,R,2,1,14,1000,.,.,.,.,96350,49488,707543,897934,2003-02-05,333761,R26328-1,81,88,1,333761,1,2,2005-09-23,710,741,1,825863,.,.,.,.,.,8,1
1051921,5330,DES,BASIN_MONA_5330,C,A,2005-02-03,R,1,1,.,1000,.,.,.,.,25790,25892,914487,914482,2003-03-20,612375,R1582589-5,68,75,27,612375,19,1,2005-09-27,625,612,23,340399,23,2006-03-31,870,824,17,.,1
1054212,44R,1BWJ,RED_HILL_M361_CALDWELL_44R,C,B,2005-03-05,R,2,1,.,922,XX,63,HP,15,75218,75218,855234,914337,2003-02-26,612420,R1598067-6,78,85,6,612420,6,1,2005-08-08,408,572,2,336213,6,2006-02-12,810,914,2,.,1
1054255,59R,1BWJ,RED_HILL_H281_LANA_59R,C,A,2005-04-14,R,2,1,.,1000,.,.,.,.,75218,22992,623338,854969,2002-03-29,612420,R1598067-5,69,72,1,612420,5,1,2005-08-30,355,524,1,336213,5,2006-02-12,660,818,1,.,1
1054267,46R,1BWJ,RED_HILL_M361_MINIATA_46R,C,A,2005-03-07,R,2,1,.,1000,.,.,.,.,124295,75218,855234,902292,2003-01-14,612420,R1748204-5,71,78,1,612420,3,1,2005-08-08,374,518,1,336213,3,2006-02-12,790,873,1,9,1
1054287,32R,1BWJ,RED_HILL_B571_JULIAN_32R,B,A,2005-02-17,R,3,1,16,1000,.,.,.,.,72423,75218,387580,896720,2003-02-05,612420,R1752288,77,77,1,612420,.,1,2005-08-22,588,640,1,336213,.,2006-02-12,1070,1083,1,.,1
1054289,16R,1BWJ,RED_HILL_4912_BARMAID_16R,C,A,2005-02-09,R,3,1,.,1000,.,.,.,.,124295,90431,574873,855307,2002-03-26,612420,R1755695,70,70,1,612420,.,1,2005-08-22,471,490,1,336213,.,2006-02-12,814,805,1,.,1
1054778,502R,HXC,HXC____502R,C,A,2005-02-10,R,1,3,.,1000,.,.,.,.,25675,25675,387580,786564,2001-02-11,612414,R1726201-1,61,62,1,612414,1,1,2005-09-05,488,494,1,335852,1,2006-02-06,812,831,1,.,1
1055438,5384,CARA,CIRCLE_A_GOLDI_5384,C,A,2005-09-13,R,3,1,11,1000,.,.,.,.,78573,55766,832407,821040,2001-10-05,333555,R1755884,74,74,1,340125,.,2,2006-04-05,700,703,1,355917,.,2006-10-04,866,849,1,.,1
1058344,13R,CSF,BADLANDS_LEAGUE_13R,B,A,2005-02-13,R,3,1,10,1000,.,.,.,.,25790,25790,832407,543714,1996-03-26,612373,R1753078,83,83,1,612373,.,1,2005-10-10,815,711,1,343934,.,2006-01-20,1295,1464,1,.,1
1062882,5066,PIE,PIE_CARTRIGHT_5066,B,A,2005-02-20,R,2,1,.,1000,.,.,.,.,63259,25771,924770,921751,2003-02-03,611298,R1643925-9,81,88,38,611298,13,1,2005-09-12,720,797,35,336237,12,2006-02-12,1400,1508,20,.,3
1062910,5109,PIE,PIE_BIG_TIME_5109,B,A,2005-02-25,R,2,1,12,1000,.,.,.,.,87014,25771,765746,861173,2002-02-21,.,R1643925,.,.,.,611298,24,1,2005-09-12,708,765,2,336237,21,2006-02-12,1278,1361,2,.,1
1064083,0534R,PRA,PELTONS_MISS_FLO_0534R,C,A,2005-01-30,R,3,1,15,1000,.,.,.,.,28799,28799,662722,866956,2002-01-30,612419,R1752307,60,60,1,612419,.,1,2005-09-10,620,575,1,.,.,.,.,.,.,.,1
1064910,509,WVX,WOOD_THUNDERHEAD_509,B,A,2005-02-18,R,3,1,.,1000,.,.,.,.,31444,63899,532739,355413,1991-04-03,612423,R1680075-1,74,74,1,612423,1,1,2005-08-29,604,640,1,.,.,.,.,.,.,.,1
1065416,5515R,HXC,HXC_BIG_DAWG_5515R,B,A,2005-01-08,R,3,1,15,1000,.,.,.,.,25675,25675,378597,903636,2003-01-21,612422,R1753480,92,92,1,612422,.,1,2005-09-05,802,698,1,335852,.,2006-02-03,1468,1404,1,.,1
1069506,R6898,RABR,BROWN_MS_MAJOR_LEAGUE_R6898,C,A,2005-01-02,R,3,1,99,1000,.,.,.,.,66344,26380,832407,833298,2002-01-04,612413,R1753805,70,70,1,612413,.,1,2005-09-01,495,430,1,612413,.,2006-02-02,930,882,1,.,1
