testname,nqtl,nsnps,h2,chrom,females,males,crosses,gamma,shape,pulleach,burnins,gens
scenario136,1,1000,0.2,10,500,50,2000,TRUE,0.42,2,5,15
scenario137,1000,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario138,500,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario139,250,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario140,100,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario141,50,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario142,20,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario143,10,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario144,1,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario145,1000,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario146,500,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario147,250,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario148,100,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario149,50,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario150,20,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario151,10,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario152,1,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario153,1000,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario154,500,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario155,250,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario156,100,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario157,50,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario158,20,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario159,10,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario160,1,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,10
scenario161,1000,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario162,500,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario163,250,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario164,100,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario165,50,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario166,20,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario167,10,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario168,1,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,10
scenario169,1000,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario170,500,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario171,250,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario172,100,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario173,50,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario174,20,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario175,10,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario176,1,1000,0.5,10,500,50,2000,FALSE,NULL,2,5,15
scenario177,1000,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario178,500,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario179,250,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario180,100,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario181,50,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario182,20,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario183,10,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
scenario184,1,1000,0.5,10,500,50,2000,TRUE,0.42,2,5,15
